,author,text,likes,published_at
0,@theeplutoshow,THEE PLUTO INSPIRES. https://youtu.be/ypJ0cxfHIj0 10 MOST EXPENSIVE CARS IN KENYA. Kindly watch and subscribe ❤️‍🔥💯💯,334,2022-10-08T06:31:50Z
1,@josephatmonyenye4479,"kuna mahali Pluto huwa unasahau ""TIKITOK "" mambo huwa pale noma",0,2026-01-27T16:43:56Z
2,@GlennTonne,Atii Bro codeee 😢😢😢 walahii minakukata shingo  kwanza 🔪🔪🔪🔪,0,2026-01-25T22:38:19Z
3,@Archi.Giovanna,Niko hapa 2026😅hii nayo ilikuwa out of the normal sanitize na nimependa more like this aki,0,2026-01-02T10:30:21Z
4,@EvansWambua-t8e,bros comes before hoes...........my G did the vise vasa🥲🥲🤣🤣,0,2025-12-17T04:52:07Z
5,@RoseMercy-w7z,Pluto si unipee huyo cannot ni mcute,0,2025-11-07T10:50:19Z
6,@brianmboy,Joo enyewe Love is Scum Walai,0,2025-10-23T08:42:22Z
7,@CatherineNjoki-k5t,Ata yy Hana adabu hawezi ona kama alikosea,1,2025-10-20T12:33:19Z
8,@CatherineNjoki-k5t,Salimia majanki sana,0,2025-10-20T12:29:59Z
9,@funnykenya2001,"Hapo mwisho ,,Kuna jamaa hapo nyuma ataenda na simu",1,2025-10-13T10:43:47Z
10,@samchris1914,😂😂😂 ila Wakenya maboya mamoriii,0,2025-10-02T02:35:00Z
11,@MichaelMangushi,Imepain utasemaa ni imetokea kwangu in seriously uyuu Budaa amefanyaaa kituu mbayaaa uyuu jamaaa akeee 😢😢😢,0,2025-09-28T22:43:49Z
12,@Oluokojunior-f4k,Utamu wa kutrust mtu so painfull 💔💔💔💔💔,0,2025-09-27T09:10:58Z
13,@denniskamau3122,Bro karma is real,1,2025-09-26T14:18:39Z
14,@PurityGateri,Ibrah Ako fity,0,2025-09-14T07:46:46Z
15,@MagdaleneNjoki-z5w,So sorry 4 tht😢❤,0,2025-09-10T14:15:36Z
16,@Vinkilakeyz,Take it easy 😢bro,0,2025-09-08T22:14:48Z
17,@stevekariuki-pn3fk,Pia singelalisha😂,0,2025-09-05T18:22:15Z
18,@Giftessy254giftiee,Nipewe iano nimempenda na nimemcrushia😊😊,10,2025-09-05T13:58:55Z
19,@SIKA.KEVO.C,Ni normal 😂😂😂,0,2025-09-01T18:15:07Z
20,@AngelahBlessing-d3i,Simnipee number ya uyo boy,1,2025-08-28T15:01:34Z
21,@tonyalves5886,Hapa vita ndio inatutenganisha walai,0,2025-08-16T20:38:55Z
22,@RamonaHudgens-d1q-i8y,Iano ameiva kuliko hiyo nugu,1,2025-08-11T12:10:02Z
23,@RamonaHudgens-d1q-i8y,Pluto nipee huyo boy walai❤❤❤❤❤,0,2025-08-11T11:56:11Z
24,@RamonaHudgens-d1q-i8y,Pluto nipee huyo boy plz plz,1,2025-08-11T11:55:15Z
25,@AceKid-i7v,Bros before hoes🚮,0,2025-07-31T09:49:19Z
26,@SimonMwangi-i4f,huyu jamaa ni kapii,0,2025-07-21T15:29:21Z
27,@HillaryNyongesa,😂😂neza pata vida kama hii ya morio kugongeana??,1,2025-07-11T12:30:20Z
28,@GloriaKipruto-p4h,Na vile Iano ako mcute,1,2025-07-10T12:12:33Z
29,@skoopygoofy,quavo hujafanya fitiii,0,2025-07-03T21:36:27Z
30,@SuzzieCoi,Pia mmi napenda dem wa uyu😂😂😂,0,2025-06-23T22:44:05Z
31,@LynnAnyango-x8j,@theeplutoshow nataka huyo😭😭😭that guy has self control and respect n he's cute,1,2025-06-20T13:04:07Z
