author,text,likes,published_at
@talesbytitus254,"hello tales family,to support our channel mpesa number is:0748124597[titus lusega]",63,2025-04-22T16:19:13Z
@morrismwenda6024,weeeee mpaka hako na iron fist,0,2026-02-01T21:47:15Z
@GibsonMwasaru-k5z,mbona akuna za wanaume,0,2026-01-24T20:46:17Z
@JeanpaulAwuor,"watch these videos: ""why promiscuous women end up as single mothers'' and ''why you should never date(let alone marry)single mothers''. these are people's opinions of course. i do not care whether one is a single mother or not, and in that regard, the song by dolly parton, ''my mistakes'', is very apt.",0,2026-01-22T11:06:12Z
@DrAntoinetteLloydMD,you never know what it’s like to live in another person’s shoes and what u would do in those shoes. i prefer to empathize than judge. some of us were born in or found ourselves in difficult circumstances.and our options for survival can be very limited. i’m grateful i had different circumstances and options. but i understand why some people have lived different ways.,1,2026-01-21T11:57:08Z
@isaacmuiruriimunza2091,hii ni kawaida... but its good ameturn a new leaf,3,2026-01-18T05:19:36Z
@rahabwanjohi5220,wah am approaching 4th floor but hawa watoi wa 2000 si wameona mengi kuniliko,1,2026-01-15T21:28:43Z
@abrahamkishoyian4367,asma god will take you through,1,2026-01-07T14:10:55Z
@formulajtv6524,sio kwa ubaya but ladies you should know that the moment men have issues over you just leave them all usijidanganye to choose one coz hapo hakuna trust tena so hata upate bol ni noma tu umejieka ndani,1,2026-01-04T17:15:48Z
@AGNETAACHIENG-f4p,sichocha kweli kweli bila chuki vitu ziko straight ni mrembo kuruka,0,2026-01-03T17:59:52Z
@EstherMurugi-d8l,iyo stag party inaitwaga bachelor's party before the wedding day. siku ya mwisho ya kujivinjari before ukue husband,1,2026-01-02T21:37:17Z
@josphatgachambi-oi7in,esma has been immoral all throughout....she was born evil,0,2025-12-26T08:35:26Z
@PurityAngelynah-x5z,we don't judge lkn kicheko ni gidii na ghost😂😂😂,0,2025-12-20T15:31:15Z
@gracenyambura9253,mama yako nikama ali watch esmarlda,0,2025-12-15T20:45:47Z
@glorymugambi2498,"ohh my god,they don't do it to impress anyone but they do it to earn living and to live a good life like any other ,one day huyo god ametaja niko sure atamkumbuka , she's a good girl,and no one is perfect in this world.",4,2025-11-27T18:58:04Z
@Charltonsak,i didn’t know the extent this has spread in kenya. when i lived there it was either hidden or in small sized corners of the country . may god heal our homeland and beautiful souls like esmer. this was a very touching story/tale. thank you for what being brave to share your story with the world..,2,2025-11-21T12:38:27Z
@BwanaheeKombo,"bado ni kama anafichaficha auona haya kuongea, walikuwa wakiromance ama",0,2025-11-13T22:51:46Z
@njarijames637,that chile ni mcute sana type yangu 😘😘😘😘😘😘,0,2025-11-11T17:05:57Z
@marywangari-bm8fp,nimerudi tena she a hl vibe ✨️ 😌 ❤,0,2025-11-11T16:00:02Z
@vincentoyoo3863,this lady is a vibe,0,2025-11-11T13:50:26Z
@ClintonMwangi-d7m,to much compliment fanya show 🥱,1,2025-11-10T09:22:40Z
@SellahOrito,nigerian men 😮😮the 2nd am hearing,0,2025-11-07T16:31:11Z
@ibrahimnasiche6593,bby girl wewe ni mrembo sana but try your best utoe hizo tattoo na nakuombea mungu akuunganishe na mtu poa uishi poa ubadilike kabisa,0,2025-11-03T10:47:56Z
@joymbugua1620,"am not here to judge am here to pray for you and let you know god loves you ,god is all we need",0,2025-10-29T12:23:26Z
@charitylutomia6528,"hawa millenials comment section si wanajisikia😂😂😂....do you guys even watch lynn ngugi, same stories from millenials. muache kusema you do things differently",3,2025-10-13T14:28:18Z
@JohnKariuki-n1n,eti maisha imetíi😂😂😂,0,2025-10-11T18:04:34Z
@sherrymofficial269,hii lugha joh..aty tititi,0,2025-10-07T12:35:31Z
@charleswaluvengo8956,poverty can surely parent anyone from going to heaven,0,2025-09-16T13:52:11Z
@MohamedDahir-hj2oq,its unfortunate our kenyans ladies are going through disaster. waaah its shocking haukuogopa kuona maiti kwa fridge.,0,2025-09-15T23:41:08Z
@lyndaondari4082,"esma you have lived the full 9 lives of a cat...you are a strong beautiful girl, restoration is possible. may god's restoration power and grace be upon you.",1,2025-09-07T16:16:53Z
@lyndaondari4082,the sheng is a lot...but interesting story,0,2025-09-07T16:01:03Z
@MajestyAbu,may she find peace and happiness ❤❤❤❤❤❤,0,2025-08-29T17:39:32Z
@Nethernluther,𝒉𝒊𝒛𝒊 𝒔𝒕𝒐𝒓𝒚 𝒏𝒊 𝒛𝒂 𝒖𝒌𝒘𝒆𝒍𝒊 𝒉𝒂𝒕𝒂,0,2025-08-20T12:56:24Z
@mambas264,mbona hawa madem zote husema hawapeani sim 2 na kwa telegram mambo ni tofauti... tena unaktaa aje na umeblecky?,0,2025-08-16T20:06:37Z
@davidmuli3940,aki akona vibe❤️,2,2025-08-15T09:59:20Z
@ExpressMovingLexKy,wapi part 2?,1,2025-08-04T05:53:17Z
@nicolelisa8554,lesbuansim is not a sin ... do what makes you happy,0,2025-08-02T09:37:51Z
@petrov31,kurusha mishale.... heheheh,0,2025-07-31T11:49:03Z
@joy-lifestle,short cuts in life are very draining 😢😢 let's trust the process 😢,0,2025-07-31T05:05:56Z
@CelyneVihendah,what a sad life... but we thank god for bringing you back to your normal life... you are a strong girl and keep praying for god's protection and never look back,0,2025-07-06T12:56:14Z
@feizajuliana6097,ngoja kwanza nimelea huyu mtoi....i know her whole family....jeez,0,2025-07-05T13:56:43Z
@suzziesusan9969,camera man ni wewe tunangonjea 😂😂,0,2025-07-02T08:55:30Z
@fridahmiriti39,na kuna gen x mwingine hapa ama ni mimi tu🤔,0,2025-06-28T19:48:37Z
@sarahmwangi5205,watoto wa 2000 jameni mmeona mengi mimi wa 90's i feel like i know nothing,0,2025-06-27T06:34:38Z
@azerebevaline4143,may god give her honour ❤,0,2025-06-25T22:08:07Z
@bettyawory9421,karembo,1,2025-06-22T21:47:01Z
@bettyawory9421,mtu aniambie kutwak ndio kufanya?,0,2025-06-22T21:31:37Z
@BREEZYPHOBIA,seriously everyone as a story depends only how we express😢😢,0,2025-06-22T16:26:54Z
@CheronoSharin,i you sister to kalala mbona sauti ya kucheka inafanana,0,2025-06-18T10:44:28Z
