author,text,likes,published_at
@ObinnaTVExtra,"Let’s hit 1 MILLION SUBSCRIBERS!
Thank you so much for the love and support. If you’re enjoying the content, don’t forget to subscribe, like, and share. Let’s grow together  we’re just getting started!",468,2025-07-28T16:05:06Z
@jeffmwemagk,"Patelo is in charge as a man. He is also sharp, seen in how he evades some questions.",0,2026-01-29T09:18:15Z
@PurityKingori-n5l,How many times I have watched this is crazy love them❤,1,2026-01-15T01:54:03Z
@rhodakaruga9504,This guy could be a cult leader. Charisma with very little content 😂😂😂😂😂😂,0,2026-01-08T03:00:32Z
@BrianKinyanjui-fd4vs,Wakudumu watadumu,0,2025-12-30T05:19:48Z
@TabithaMuguro-s3f,This guy is smart....he knows what he wants....,0,2025-11-28T10:58:28Z
@SegeraSegera-i2z,😂😂😂😂😂😂,0,2025-11-13T21:55:33Z
@Eekuria,PATERO ALITUMIA 500 M KWA WEDDING HAHAHAHAHAHA,0,2025-10-15T12:35:20Z
@joewayne6775,"God ndo the key,
Omba God, piga bidii and focus 💯💯💯",0,2025-10-07T22:36:20Z
@malcolmjeduor7448,This guy ako na vibe poa sana😂😂,0,2025-10-04T07:31:00Z
@missmannydxb,He’s a comedian,0,2025-09-28T20:50:03Z
@NyawiraJBernard,Patelo my love,0,2025-09-25T12:13:23Z
@paulofficial8219,Yuko 26 na wife 29.,0,2025-09-24T17:32:48Z
@Yasminsadiah7734l,Nadai love like thisss😂😂😂😂😂😂😂❤❤❤,0,2025-09-22T09:28:25Z
@evansodhiambo299,Nacrushia sauti ya Dee akicheka.....sio kuongea,0,2025-09-16T23:09:19Z
@herbertmutoro2434,I like the positivity in Partello,0,2025-09-16T19:11:04Z
@WORLDTRADINGNEWS,atunawo magoshodo maruchepe😀😀,0,2025-09-09T17:29:35Z
@dominicbosire1549,Mkilike hii comment yangu narudi kuwatch tena na tena,0,2025-09-07T10:31:01Z
@MollyOuma-t5l,The way u dig to the question is the more you get confused I like the phrase,0,2025-09-07T08:35:05Z
@naominjeri4414,I love how diana is letting the husband talk and partello is soo matured.,0,2025-09-02T14:10:44Z
@FAITHMARYWANGUI,This whole interview i've just been smilling...LONG LIVE PARTELO and DEE!!,0,2025-09-01T13:21:27Z
@Sankarazikama,This couple gooooooshhhhh🥺❤u,1,2025-08-27T11:26:05Z
@catherinebhoke272,Obinna anaona moto😂😂😂😂hajazoea hii mambo😂,0,2025-08-25T20:09:56Z
@82neema,"What a nice show🤩🤩i wish them all the best in life🙏🏾
Very mature youngman n he is real n himself... i have watched it till the end.",0,2025-08-24T20:03:59Z
@Mimie_Jr,"Naskia kunyora caught me off guard 😢...
The facials 😮...
And this guy thinks he's okay 😅?",0,2025-08-22T04:23:42Z
@CyprianCyppy,nataka 1k likes only♥,0,2025-08-15T13:15:38Z
@MrBiwi254,Amefanya nibuy Captain kesho😂,0,2025-08-14T07:20:27Z
@RoseMulei-ue1rl,Omg😢,0,2025-08-13T11:47:30Z
@djexitkenya881,Laazima huyu ndo stupid boy😂,0,2025-08-13T08:21:23Z
@maniacboyz8918,Bro is explaining sheng with sheng😂,1,2025-08-12T16:04:34Z
@simbaofficial254,29 years,0,2025-08-12T13:37:37Z
@TeresaKathambi-k2i,Hi,0,2025-08-12T11:49:35Z
@SILVANUSKIBET,Ati mjunior ako 20yrs😂😂😂😂😂😂 Kwan jamaa alipeana ball akiwa how old yawah???😅😅😅,1,2025-08-12T04:25:48Z
@shakurterqey5379,"The nod Dee gave Obinna to lenga izo msee😂😂😂😅 1:13:30
Dee is the bossy💪💯",0,2025-08-12T03:31:42Z
@anneodongo7966,Life is very spiritual...whoever has eyes can see,0,2025-08-11T20:37:29Z
@JudyNGUGI-o1b,This was funny😂😂😂,0,2025-08-11T19:35:30Z
@Dorine-r1l,Waaaaao barshosho my home💪,0,2025-08-10T13:33:21Z
@baxcilmacha8459,This couple is a real deal.God bless this couple forevermore.,1,2025-08-10T10:26:34Z
@El_batos,"Okay, I know I’m going to be attacked for this, but we should really be careful about who we give fame to and put in the spotlight. It’s evident that these two people are using drugs, or whatever it is they’re putting on their lips. This is an intoxicated interview. I can see everyone talking positively about this couple, but no one is speaking out against interviewing people who are on drugs. We have kids watching these shows. What exactly are we selling to the younger generation?",2,2025-08-10T08:59:11Z
@pattipattie,show me your ways,0,2025-08-10T06:48:25Z
@Hot_PlateMeals,How old is the lady..somebody tell me,0,2025-08-10T01:50:50Z
@hashimmutinda8612,I'll forever love ghetto yuts ❤❤,0,2025-08-09T17:57:17Z
